participant_id,participant_ts,age,gender,handedness,native_language,other_languages,french_level,french_years,french_listening_rating,hearing_difficulties,device,saved_at,trial,speaker,file_A,file_B,word_A,word_B,response,rt_ms,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,79,homme,enregistrements_homme/clean\10_dunt_20260421_195531.wav,enregistrements_homme/clean\10_dunt_20260421_195531.wav,dunt,dunt,same,622,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,80,femme,enregistrements_femme/clean_denoised\28_det_20260422_181844.wav,enregistrements_femme/clean_denoised\28_det_20260422_181844.wav,det,det,same,435,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,81,femme,enregistrements_femme/clean_denoised\33_gat_20260422_181851.wav,enregistrements_femme/clean_denoised\33_gat_20260422_181851.wav,gat,gat,same,2475,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,82,femme,enregistrements_femme/clean_denoised\10_dunt_20260422_181814.wav,enregistrements_femme/clean_denoised\10_dunt_20260422_181814.wav,dunt,dunt,same,621,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,83,femme,enregistrements_femme/clean_denoised\27_dat_20260422_181842.wav,enregistrements_femme/clean_denoised\27_dat_20260422_181842.wav,dat,dat,same,584,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,84,homme,enregistrements_homme/clean\11_dont_20260421_195532.wav,enregistrements_homme/clean\9_dant_20260421_195529.wav,dont,dant,different,560,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,85,femme,enregistrements_femme/clean_denoised\18_bat_20260422_181828.wav,enregistrements_femme/clean_denoised\19_bet_20260422_181829.wav,bat,bet,different,419,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,86,homme,enregistrements_homme/clean\4_punt_20260421_195521.wav,enregistrements_homme/clean\4_punt_20260421_195521.wav,punt,punt,same,712,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,87,homme,enregistrements_homme/clean\35_got_20260421_195610.wav,enregistrements_homme/clean\35_got_20260421_195610.wav,got,got,same,1234,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,88,homme,enregistrements_homme/clean\34_get_20260421_195609.wav,enregistrements_homme/clean\34_get_20260421_195609.wav,get,get,same,744,,,,,,,,
P_1777109938768,2026-04-25T09:38:58.768Z,23,Male,Right-handed,English,Irish,None,0,1,No,Speakers,2026-04-25T09:46:50.882Z,89,femme,enregistrements_femme/clean_denoised\16_gunt_20260422_181824.wav,enregistrements_femme/clean_denoised\16_gunt_20260422_181824.wav,gunt,gunt,same,553,,,,,,,,
